Real Image,Fake Image,SSIM,MSE,PSNR,MAE,PCC
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section02_yp0_patch01_real_A_fake.png,0.268,11077.659,7.686,90.959,0.478
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section03_yp0_patch01_real_A_fake.png,0.176,11208.534,7.635,105.96,0.27
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide07_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide07_Section01_yp0_patch01_real_A_fake.png,0.276,10953.363,7.735,89.83,0.502
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide07_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide07_Section02_yp0_patch01_real_A_fake.png,0.237,10447.956,7.94,88.293,0.443
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide07_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide07_Section03_yp0_patch01_real_A_fake.png,0.274,10546.315,7.9,92.947,0.443
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide08_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide08_Section01_yp0_patch01_real_A_fake.png,0.261,10772.608,7.808,84.681,0.516
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide08_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide08_Section02_yp0_patch01_real_A_fake.png,0.303,8630.815,8.77,72.686,0.549
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide08_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide08_Section03_yp0_patch01_real_A_fake.png,0.311,8297.569,8.941,73.5,0.526
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide09_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide09_Section01_yp0_patch01_real_A_fake.png,0.265,8741.506,8.715,69.766,0.538
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide09_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide09_Section02_yp0_patch01_real_A_fake.png,0.293,7927.551,9.139,67.947,0.542
